search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence,suggestion_synonym_mapping,suggestion_synonym_url,suggestion_related_artist_id,suggestion_related_artist_url,suggestion_related_artist_title,suggestion_related_song_id,suggestion_related_song_url,suggestion_related_song_title,suggestion_theme_keywords
효리수,11155,510,0.0457,false,,"소녀시대 멤버 효연·유리·수영으로 구성된 유닛 그룹 이름으로, 세 멤버 이름의 앞글자를 딴 유닛명이며 'Skibidi' 등의 싱글을 발매했다.",아티스트,high,,,,,,,,,"소녀시대 유닛그룹, 케이팝 유닛, 걸그룹 서브유닛"
겜작,4372,113,0.0258,false,,"'게임'과 특정 능력치를 올리기 위한 반복 행동을 뜻하는 '작'이 합쳐진 게임 커뮤니티 은어로, 음악과는 직접적인 관련이 없다.",지식,medium,,,,,,,,,"게임 커뮤니티 용어, 게임 밈, 온라인게임 은어"
뮤직웨이브,1808,90,0.0498,false,,"멜론(카카오엔터테인먼트)이 운영하는 실시간 음악 감상 및 채팅 서비스로, K팝 팬덤과 아티스트를 연결하는 소통 채널이다.",앱기능/서비스,high,,,,,,,,,"실시간 소통 서비스, K팝 팬덤 채팅, 멜론 라이브 기능"
무엇이든 해낼 당신에게,1096,0,0,false,,"작가 남상훈이 쓴 에세이 도서의 제목으로, 자기 비판과 반추가 습관화된 이들을 위로하는 내용을 담고 있다.",지식,medium,,,,,,,,,"힐링 에세이, 자기 위로 메시지, 감성 에세이 무드"
soonflow,1072,0,0,false,,"'Ocean on Your Lips', 'The Best Is Yet to Come' 등을 발표한 팝 아티스트로, Spotify·Shazam 등 스트리밍 플랫폼에서 음원을 확인할 수 있다.",아티스트,medium,,,,,,,,,"글로벌 인디팝, 감성 팝발라드, 팝 싱어송라이터"
그냥 기다려보는거야,868,7,0.0081,false,,"노래 가사의 일부로 추정되나, 검색을 통해 이 구절과 정확히 일치하는 곡이나 아티스트를 특정하지 못했다.",기타,low,,,,,,,,,"위로 가사, 잔잔한 발라드, 기다림 감성 음악"
잔울,826,9,0.0109,false,,Spotify와 Apple Music에 자신의 이름으로 채널을 운영 중인 감성 발라드 계열의 아티스트이다.,아티스트,low,,,,,,,,,"감성 발라드, 인디 싱어송라이터, 잔잔한 발라드 무드"
무엇이든 해낼,776,26,0.0335,false,,"에세이 '무엇이든 해낼 당신에게'의 제목 일부로 보이며, 특정 음원과는 일치하지 않는다.",지식,medium,,,,,,,,,"자기계발 문구, 위로 메시지, 에세이 감성"
국어별동대,574,0,0,false,,"117만 구독자를 보유한 크리에이터 '백앤아'가 참여한 국어 학습 만화 '고고프렌즈' 시리즈의 제목으로, 음악과는 무관하다.",지식,high,,,,,,,,,"학습 만화, 국어 교육 콘텐츠, 키즈 콘텐츠"
무엇이든,538,26,0.0483,false,,"'무엇이든 해낼 당신에게' 등 에세이 제목의 일부로 보이는 일반 단어로, 특정 음원이나 아티스트와 연결되지 않는다.",지식,low,,,,,,,,,"자기계발 키워드, 위로 문구, 에세이 제목"
