search_keyword,search_cnt,click_cnt,click_rate
노스텔지아 빅나티,1209,0,0.0
무엇이든 해낼 당신에게,994,0,0.0
조춘청랑,800,0,0.0
soonflow,680,0,0.0
34xp,621,0,0.0
내정보,295,0,0.0
무엇이든해낼당신에게,285,0,0.0
차쿤 에네스,275,0,0.0
早春晴朗,244,0,0.0
germinie,241,0,0.0
행복이 그거래요,239,0,0.0
mellozen,221,0,0.0
차쿤에네스,217,0,0.0
퍼피구조대,214,0,0.0
anoufie,204,0,0.0
사랑한다는 말은 오혁,197,0,0.0
정재심,190,0,0.0
백강사운드,187,0,0.0
이용권,183,0,0.0
인생은 서툰 여행이래,183,0,0.0
nostalgia 서동현,172,0,0.0
노스,169,0,0.0
맛뮤직,167,0,0.0
허걱,164,0,0.0
고래보석,163,0,0.0
jerome timu,163,0,0.0
zinaflow,162,0,0.0
lovixx,162,0,0.0
놋,160,0,0.0
zavyre,154,0,0.0
임영웅 뮤직웨이브,151,0,0.0
myofeel,150,0,0.0
로린디엘,149,0,0.0
melopaper,144,0,0.0
biig,143,0,0.0
녹는가슴,141,0,0.0
캐시충전,139,0,0.0
미려적신화,133,0,0.0
sueyalike,133,0,0.0
투이드,132,0,0.0
래퍼랑 엮지말아줘,128,0,0.0
paul velchev,128,0,0.0
reyvi,124,0,0.0
이용권해지,123,0,0.0
호리수,123,0,0.0
빅나티 노스텔지아,123,0,0.0
빅뱡,121,0,0.0
발랃,121,0,0.0
붓꽃잎편지,118,0,0.0
래몬탱,117,0,0.0
나뭇가쥐,114,0,0.0
빅마티,112,0,0.0
행복이그거래요,107,0,0.0
skidibi,104,0,0.0
진건호,104,0,0.0
임영웅뮤직웨이브,104,0,0.0
그냥기다려보는거야,517,1,0.0019
노스텔지아 서동현,405,1,0.0025
해지,520,3,0.0058
비밀 이승기,148,1,0.0068
노스탈,143,1,0.007
먼작귀,410,3,0.0073
ㅁ,131,1,0.0076
투표,123,1,0.0081
효리스,240,2,0.0083
잔울,806,7,0.0087
치하,107,1,0.0093
스키디비,102,1,0.0098
해그매전,101,1,0.0099
머므르,100,1,0.01
이런여유,298,3,0.0101
쥬시크,255,3,0.0118
그냥 기다려보는거야,962,12,0.0125
방금 그 노래,155,2,0.0129
오혁 사랑한다는 말은,154,2,0.013
ej,153,2,0.0131
죽음의 조각,148,2,0.0135
쿠폰,141,2,0.0142
",",136,2,0.0147
dasies,134,2,0.0149
이영진,193,3,0.0155
always will,127,2,0.0157
음만노,246,4,0.0163
music wave,120,2,0.0167
비행정,119,2,0.0168
호랑이기세,294,5,0.017
국민딴따라,116,2,0.0172
사계 그리고 너,113,2,0.0177
괜히 사랑해서,162,3,0.0185
이승기 비밀,258,5,0.0194
겜작,4011,81,0.0202
주간인기상,181,4,0.0221
그냥 기다려,134,3,0.0224
퇴사할게요,346,8,0.0231
임영웅신곡,257,6,0.0233
pain in the dark,122,3,0.0246
니썬뮤직,360,9,0.025
난홍,198,5,0.0253
무엇이든해낼,192,5,0.026
제,111,3,0.027
ㅅ,247,7,0.0283
ㅣ,137,4,0.0292
ㅇ,444,13,0.0293
kelly is green,715,21,0.0294
이런게행복이지뭐,231,7,0.0303
지나간시간보다,582,18,0.0309
뮤직웨이브,2949,95,0.0322
무엇이든 해낼,746,25,0.0335
무엇이든,465,16,0.0344
포시즈,145,5,0.0345
불행했으면해,394,15,0.0381
인생은 서툰,130,5,0.0385
헬스키친,104,4,0.0385
ㄹ,102,4,0.0392
임영웅 신곡,102,4,0.0392
헬로핑,203,8,0.0394
불행했으면 해,725,29,0.04
여자들 감성,141,6,0.0426
리샌느,116,5,0.0431
