search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence
효리수,11096,236,0.0213,false,,"소녀시대의 효연·유리·수영으로 구성된 신규 유닛 '효리수'로, 2026년 8월 31일 싱글 '스키비디(Skibidi)'로 정식 데뷔한 최신 트렌드 아티스트이다.",아티스트,high
겜작,4231,103,0.0243,false,,"'겜'(게임)과 '작'(파밍/육성 작업)의 합성어로, 게임에서 스탯이나 재화를 얻기 위해 반복 플레이하는 행위를 가리키는 게임 커뮤니티 은어이며 음악과는 무관하다.",지식,medium
뮤직웨이브,1643,63,0.0383,false,,"멜론(카카오엔터테인먼트)이 운영하는 음악 감상·채팅 서비스로, 주제별 채널에서 실시간 재생 음악을 다른 이용자들과 함께 듣고 소통할 수 있는 멜론 앱 내 기능이다.",앱기능/서비스,high
무엇이든 해낼 당신에게,1404,0,0,false,,"아티스트 jehoda가 2026년 4월 발매한 싱글 곡으로, 힘든 과정을 견뎌내면 행복이 온다는 응원과 위로의 메시지를 담고 있다.",음원,medium
무엇이든 해낼,1017,45,0.0442,true,무엇이든 해낼 당신에게,,,medium
잔울,951,19,0.02,false,,"잔울(Janull)은 스포티파이·애플뮤직·유튜브 등에서 활동하는 국내 인디 뮤지션으로, 감성적인 발라드 곡들을 다수 발표했다.",아티스트,high
빅밸,749,0,0,true,빅뱅,,,medium
biig,719,7,0.0097,true,Biig Piig,,,medium
국어별동대,636,0,0,false,,유튜브 크리에이터 그룹 고고프렌즈(백현·아름·평학·모양몬·모찌엘)가 자체 국어 학습 웹툰을 바탕으로 2026년 7월 발매한 노래 제목이다.,음원,high
soonflow,627,0,0,false,,"soonflow는 스포티파이·샤잠 등에 곡을 발표 중인 팝 아티스트로, 'The Best Is Yet to Come' 등의 곡을 선보였다.",아티스트,medium
이런 여유 너무 좋고,569,26,0.0457,false,,"E:um이 2026년 6월 발매한 앨범 '언제까지나' 수록곡으로, 여유로운 순간의 편안함을 노래한 팝 장르 곡이다.",음원,high
사람이 지쳤잖아,529,19,0.0359,false,,"아티스트 223.32가 2026년 1월 발매한 싱글 곡으로, 사람에 지친 마음을 담은 노래이다.",음원,high
해지,514,0,0,false,,멜론 이용권(정기결제) 해지를 의미하는 서비스 메뉴 용어이다.,앱기능/서비스,high
불행했으면해,478,18,0.0377,false,,"정확히 일치하는 원곡은 특정하기 어려우나, '불행했으면 좋겠어'(ByssBlue 등)처럼 상대가 불행하길 바라는 감정을 제목으로 한 유사한 국내 곡들이 존재해 곡 제목 검색으로 추정된다.",음원,low
세드레인,473,0,0,true,"새드레인 (Sad Rain, 성리)",,,medium
무엇이든해낼당신에게,468,0,0,false,,"작가 남상훈이 쓴 에세이 '무엇이든 해낼 당신에게'의 제목으로, 음악보다는 위로·자기계발을 주제로 한 도서명에 해당한다.",지식,medium
ㅇ,442,8,0.0181,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
음만노,430,0,0,false,,"웹 검색으로도 명확히 대응되는 아티스트, 곡, 서비스 용어를 찾지 못했으며 의미가 불분명한 입력으로 추정된다.",기타,low
먼작귀,385,0,0,false,,"일본 작가 나가노가 연재하는 만화 '치이카와'의 한국식 별칭('먼가 작고 귀여운 녀석'의 줄임말)으로, 2020년대 한일 양국에서 큰 인기를 끈 캐릭터 IP이다.",밈/트렌드,high
이런 여유,370,17,0.0459,true,이런 여유 너무 좋고,,,medium
big,363,16,0.0441,false,,단독 검색어로는 모호하지만 음악 서비스 맥락에서는 H1ghr Music 소속 래퍼 겸 싱어송라이터 'BIG Naughty(빅나티)'를 가리켰을 가능성이 높다.,아티스트,low
로린디엘,349,0,0,false,,"'로린디엘(Lorindiel)'은 AI 딥러닝·음성합성 기술로 만들어진 국내 가상(버추얼) 아티스트로, 유튜브 및 글로벌 음원 플랫폼에서 활동 중이다.",아티스트,high
ㄱ,345,13,0.0377,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
verano,345,15,0.0435,false,,"스페인어로 '여름'을 뜻하며, 음악 맥락에서는 Karol G와 Feid가 함께한 최근 히트곡 'Verano Rosa'를 가리키는 검색으로 추정된다.",음원,medium
빅뱡,339,0,0,true,빅뱅,,,high
녹는가슴,331,2,0.006,false,,"웹 검색으로도 이 제목과 정확히 일치하는 곡이나 아티스트를 확인하지 못했으며, 의미를 특정하기 어려운 키워드이다.",기타,low
퍼피구조대,327,0,0,false,,"캐나다의 인기 유아용 애니메이션 'PAW Patrol'의 한국어 제목으로, 음악보다는 어린이 콘텐츠와 관련된 검색으로 보인다.",지식,high
mellozen,326,0,0,false,,"'mellozen'은 '너랑 있는 지금', '이 순간이 소중해' 등을 발매한 국내 음악 아티스트(AI 기반 음악 프로젝트)이다.",아티스트,high
34xp,319,0,0,false,,"'34XP'는 'THE BEACH', 'XPLSVE' 등의 앨범을 발매한 실제 음악 아티스트로, 여러 스트리밍 플랫폼에서 활동 중이다.",아티스트,medium
주간인기상,312,3,0.0096,false,,멜론에서 발매 28일 이내 인기곡 20곡을 대상으로 매주 이용자 투표를 통해 1위를 선정하는 멜론 뮤직 어워드의 투표 서비스명이다.,앱기능/서비스,high
성리 세드레인,310,0,0,true,성리 새드 레인 (Sad Rain),,,high
이런게행복이지뭐,305,13,0.0426,false,,"'이런게 행복이지 뭐'는 소소한 일상 속 행복을 표현할 때 SNS·유튜브 등에서 널리 쓰이는 문구로, 특정 음원이나 아티스트에 명확히 대응되지 않는 트렌드성 표현이다.",밈/트렌드,low
zinaflow,301,0,0,false,,"zinaflow는 AI 기반 힙합/R&B 아티스트로, 'Sweet Trick', 'Mood On Me' 등의 앨범을 발매하며 Spotify 등에서 활동하고 있다.",아티스트,high
내정보,294,2,0.0068,false,,멜론 앱 내 회원정보 확인 및 관리 메뉴인 '내정보' 기능을 가리킨다.,앱기능/서비스,high
무엇이든해낼,289,8,0.0277,false,,"'무엇이든 해낼 수 있어' 류의 자기격려성 문구 일부로 추정되며, 특정 음원·아티스트와 명확히 연결되지 않는 단편적 검색어이다.",기타,low
이런여유,269,6,0.0223,true,이런 여유 너무 좋고 (E:um),,,medium
helloping,265,3,0.0113,false,,"helloping(헬로핑)은 2025년 데뷔한 AI 보컬/작사 기반의 인디 아티스트로, '인생 뭐 있나', '놓을게' 등의 곡을 발매했다.",아티스트,high
verano!,247,6,0.0243,false,,"'Verano'(스페인어로 '여름')는 여러 아티스트가 사용한 동명의 곡 제목으로, Karol G & Feid의 'Verano Rosa' 등 다양한 트랙이 존재한다.",음원,medium
ㅅ,246,3,0.0122,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
고래보석,244,1,0.0041,false,,"'고래보석'은 극장판 애니메이션 '사랑의 하츄핑: 고래보석의 전설'(2026년 8월 개봉)의 일부로, 해당 영화의 스페셜 OST 앨범과 관련된 검색어로 보인다.",음원,medium
germinie,239,0,0,false,,"germinie는 Spotify 등에서 활동하는 인디 아티스트로 'Too Good At This', 'Stay Right Here' 등이 수록된 'Half Alive' 등의 앨범을 발매했다.",아티스트,high
맛뮤직,232,3,0.0129,false,,"'맛뮤직(FLAVOR MUSIC)'은 감성적인 한국 힙합·칠 트랙의 가사 영상을 올리는 유튜브 음악 채널로, 특정 아티스트나 단일 음원이 아닌 콘텐츠 채널명이다.",기타,medium
ㅈ,218,7,0.0321,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
캐시충전,211,0,0,false,,"멜론 캐시를 충전하는 기능으로, 충전된 캐시는 월 정기결제 및 음원 다운로드 등에 사용할 수 있다.",앱기능/서비스,high
헬로핑,202,5,0.0248,false,,"헬로핑(HELLOPING)은 2025년 데뷔한 AI 기반 인디 아티스트로, '인생 뭐 있나' 등의 곡을 발매했다.",아티스트,high
summer session,202,5,0.0248,false,,"여러 아티스트가 발매한 'Summer Session'이라는 제목의 음반/트랙(예: Amy Lee & The Loco Project Band, Dan Desnoyers 등)이 다수 존재하며, 여름 시즌 컴필레이션 음원으로 흔히 쓰이는 제목이다.",음원,low
이용권,200,1,0.005,false,,멜론 앱에서 음악 감상을 위한 정기 구독/결제 상품을 가리키는 '이용권' 메뉴 용어이다.,앱기능/서비스,high
비행정,190,2,0.0105,false,,"일본 밴드 King Gnu가 2019년 발매한 디지털 싱글 '飛行艇(비행정, Hikoutei)'을 가리키는 것으로 보인다.",음원,medium
행복이 그거래요,189,0,0,false,,"가수 미즈키의 곡으로, '좋아하는 사람이랑 낭비한 시간들' 가사가 SNS(틱톡/인스타그램)에서 밈처럼 유행하며 검색된 것으로 보인다.",음원,medium
안녕 겜작,188,0,0,false,,'겜작'(게임 제작)과 관련된 표현으로 추정되나 음악과 연관된 명확한 대상을 찾지 못해 의미 파악이 어렵다.,기타,low
anoufie,186,0,0,false,,"Spotify 기준 월 9만명 이상의 청취자를 보유한 아티스트로, 'Noir' 등의 곡을 발매한 뮤지션이다.",아티스트,medium
투표,183,3,0.0164,false,,멜론 앱 내 음악방송 순위 등에 참여하는 '투표' 기능/메뉴를 가리킨다.,앱기능/서비스,high
외톨이에게,183,3,0.0164,true,외톨이,,,medium
rover is,183,4,0.0219,false,,"벅스뮤직에 등록된 아티스트명 'ROVER is'로 확인되며, 해당 아티스트를 찾기 위한 검색으로 보인다.",아티스트,medium
정승환 입춘,176,5,0.0284,false,,"가수 정승환이 한로로의 원곡 '입춘'을 커버한 무대/음원을 가리키며, SNS에서 화제가 되며 검색된 것으로 보인다.",음원,high
serinwave,174,0,0,false,,"유튜브뮤직 기준 월 50만명 이상의 청취자를 보유한 아티스트로, 'Pastel Lights' 등 다수의 음반을 발매했다.",아티스트,high
빅벵,173,0,0,true,빅뱅,,,high
jerome timu,170,0,0,false,,"Spotify 기준 월 4만명 이상의 청취자를 보유한 아티스트로, 'Always Will' 등의 곡을 발매한 뮤지션이다.",아티스트,high
박뱅,170,5,0.0294,true,빅뱅,,,high
빅쟁,168,0,0,true,빅뱅,,,medium
꺼져 제발,166,5,0.0301,false,,"'꺼져 제발'이라는 가사/제목이 포함된 곡(캔의 '꺼져!', 소울플로우의 '제발 꺼져줄래' 등)을 찾는 검색으로 보이나, 정확히 일치하는 단일 곡은 확인되지 않음.",음원,low
이,165,7,0.0424,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
사람이지쳤잖아,164,5,0.0305,false,,가수 223.32가 2026년 발매한 싱글 '사람이 지쳤잖아'를 가리키는 것으로 확인됨.,음원,high
치하,161,1,0.0062,false,,"'치하(끝나지 않는 여름)'는 2026년 공개된 중국 드라마 제목이며, 동일 이름의 음악 아티스트는 확인되지 않음.",지식,medium
볼빨간,160,7,0.0438,true,볼빨간사춘기,,,high
니썬뮤직,156,7,0.0449,false,,"'니썬뮤직(Nisun Music)'은 Spotify, Apple Music 등에 앨범을 발매한 인디 뮤지션/음악 프로젝트명임.",아티스트,high
허걱,154,6,0.039,true,허각,,,medium
lovixx,150,0,0,false,,'LOVIXX'는 Spotify 기준 월간 청취자 약 340만 명을 보유한 힙합/랩 아티스트임.,아티스트,high
장한별 인생이란,147,0,0,false,,"'인생이란'은 윤시내가 부른 유명 트로트 곡(김종환 작사·작곡)이며, 트로트 가수 장한별이 이를 커버해 부른 무대와 관련된 검색으로 추정됨.",음원,medium
삼일후,146,0,0,false,,"관련된 곡이나 작품이 명확히 확인되지 않는 검색어로, 의미 파악이 어려움.",기타,low
국민딴따라,145,2,0.0138,false,,'국민딴따라'는 고속도로 휴게소 트로트 메들리 음반으로 유명한 가수 정희라의 별명임.,아티스트,medium
방금 그 노래,143,1,0.007,false,,"멜론의 '방금그곡' 기능을 가리키는 표현으로, TV·라디오에서 방금 나온 곡을 실시간으로 찾아주는 서비스임.",앱기능/서비스,high
인생은 서툰 여행이래,141,0,0,false,,가수 HELLOPING이 2026년 발매한 곡 '인생은 서툰 여행이래'를 가리킴.,음원,high
꺼져제발,138,2,0.0145,false,,"'꺼져 제발'이라는 가사/제목이 포함된 곡(캔의 '꺼져!', 소울플로우의 '제발 꺼져줄래' 등)을 찾는 검색으로 보이나, 정확히 일치하는 단일 곡은 확인되지 않음.",음원,low
파자마파티즈,136,0,0,false,,일본 캐릭터 콘텐츠 '치이카와(먼작귀)'에 등장하는 '파자마 파티즈의 노래'를 가리키는 것으로 추정됨.,음원,medium
이용권해지,136,0,0,false,,멜론 이용권(구독) 해지 메뉴를 가리키는 앱 서비스 관련 검색어이다.,앱기능/서비스,high
",",136,4,0.0294,false,,쉼표 기호만 입력된 것으로 의미를 특정할 수 없는 입력이다.,기타,low
8월의여름,136,5,0.0368,false,,"특정 곡·앨범·아티스트와 명확히 일치하는 정보를 찾지 못했으며, 계절감을 담은 문구로 추정된다.",기타,low
ㄷ,134,3,0.0224,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
paul velchev,130,0,0,false,,"Paul Velchev는 트랩/피즈 계열 비트 음악을 발표하는 뮤지션으로, Spotify 등 스트리밍 플랫폼에서 활동 중인 아티스트이다.",아티스트,medium
서핑보이,130,2,0.0154,false,,레드벨벳이 2026년 8월 발매한 여름 댄스곡 'Surfin' Boy(서핑보이)'를 가리킨다.,음원,high
붓꽃잎편지,129,0,0,true,붓꽃잎 편지 (홍지윤),,,medium
쿠폰,129,0,0,false,,멜론 앱 내 쿠폰 등록/사용 메뉴를 가리키는 서비스 관련 검색어이다.,앱기능/서비스,high
l,129,5,0.0388,false,,알파벳 한 글자만 입력되어 의미를 특정하기 어려운 검색어이다.,기타,low
리샌느,127,1,0.0079,true,리센느(RESCENE),,,medium
헬스키친,126,5,0.0397,false,,"싱어송라이터 앨리샤 키스의 히트곡들을 바탕으로 만든 브로드웨이 뮤지컬 '헬스키친(Hell's Kitchen)'을 가리키며, 국내에서도 라이선스 공연이 진행되었다.",지식,medium
ㅁ,125,3,0.024,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
왜내가챙피해,123,0,0,true,왜 내가 창피해,,,medium
파데코,123,1,0.0081,true,파테코(PATEKO),,,medium
ㅣ,123,3,0.0244,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
장한별인생이란,121,0,0,false,,"장한별은 2026년 MBN 오디션 프로그램 '무명전설'에서 톱3에 오르며 주목받은 트로트 가수로, 검색어는 그녀의 삶을 다룬 인터뷰 기사 제목의 일부로 추정된다.",아티스트,medium
빗뱅,120,0,0,true,빅뱅(BIGBANG),,,high
국어 별동대,119,0,0,false,,"국어별동대는 유튜버 백앤아×고고프렌즈가 만든 세종대왕 테마의 국어 학습 동화·웹툰 콘텐츠로, 관련 유튜브 동요는 있으나 멜론에 유통되는 정식 음원은 아니다.",지식,medium
myofeel,118,0,0,false,,"myofeel은 Shazam·유튜브에 프로필이 있는 인디/일렉트로닉 계열의 무명 아티스트로, 2026년 6월 'Good Day Energy'라는 곡을 발표했다.",아티스트,low
cherry flavoured,118,2,0.0169,false,,Cherry Flavoured는 미국 밴드 The Neighbourhood가 2020년 앨범 'Chip Chrome & The Mono-Tones'에서 발표한 곡이다.,음원,high
무엇이든 해낼당신에게,117,0,0,false,,"'무엇이든 해낼 당신에게'는 아티스트 jehoda가 2026년 4월 발매한 싱글 곡 제목으로, 검색어에 띄어쓰기가 붙어 실제 곡을 찾지 못한 것으로 보인다.",음원,medium
oia at sunset,116,0,0,false,,Oia at Sunset은 Cielo Ardent의 앨범 'Santorini Sunset (Mediterranean Lounge House)'에 수록된 라운지하우스 장르의 곡이다.,음원,medium
아이릿,115,4,0.0348,true,아일릿(ILLIT),,,high
래몬탱,112,0,0,true,레몬탱(Lemon Tang) - 하츠투하츠,,,high
갬작,112,5,0.0446,false,,"갬작은 뚜렷한 정의를 찾기 어려운 신조어로, '갬성'(감성의 변형)과 '작(품)'이 결합된 팬덤 은어로 추정되나 특정 곡이나 아티스트를 가리키는지는 불분명하다.",밈/트렌드,low
쿠팡,111,2,0.018,false,,"쿠팡은 한국의 대형 이커머스·OTT 기업으로, 음악 아티스트나 곡명이 아닌 쇼핑·서비스 관련 검색으로 유입된 것으로 보인다.",지식,high
차쿤에네스,110,0,0,false,,차쿤&에네스는 2000년대 인터넷에서 화제가 된 곡 '눈물'을 발표한 인터넷 가수 듀오이다.,아티스트,medium
빅백,109,0,0,true,빅뱅(BIGBANG),,,low
meet my girls,109,0,0,false,,'Meet my GRLS'는 하이브 산하 신인 걸그룹 TUIDE가 2026년 8월 발매한 데뷔 EP 'TUNE & PLAY' 타이틀곡 'GRLS'의 후크 문구이다.,음원,high
윈위,109,0,0,true,윈윈(WinWin),,,medium
차라리가,109,4,0.0367,true,차라리,,,medium
힙썬,108,1,0.0093,false,,"음악 관련 검색어로 추정되나 이에 해당하는 아티스트, 곡, 채널 등을 확인할 수 없었으며 의미가 불분명함.",기타,low
녹는 가슴,107,0,0,false,,"'가슴이 녹는다'는 감성적 표현으로 보이나, 이 제목과 정확히 일치하는 곡이나 아티스트를 찾을 수 없었음.",기타,low
ej,106,1,0.0094,false,,"영문 이니셜 'EJ'로, 국내 싱어송라이터 이젤(EJel) 또는 넷플릭스 '케이팝 데몬 헌터스'로 화제가 된 싱어송라이터 이재(EJAE) 등 동명의 가수를 가리키는 것으로 추정됨.",아티스트,low
이창민바보같지만,104,0,0,false,,2AM 출신으로 최근 트로트 가수로 전향해 '무명전설'에 출연한 이창민의 이름과 임영웅의 곡 '바보같지만'이 띄어쓰기 없이 붙어 검색된 것으로 보임.,아티스트,low
보넷도,103,1,0.0097,false,,"보이그룹 보이넥스트도어(BOYNEXTDOOR)를 가리키는 팬덤 줄임말로, 멤버 이한과 함께 언급되는 경우가 많음.",아티스트,medium
1+1,102,5,0.049,false,,"래퍼 애쉬아일랜드(ASH ISLAND)가 2025년 발매한 앨범 'Voice Memo' 수록곡 '1+1'을 가리키는 것으로 보이며, 멜론의 '1+1' 이용권/쿠폰 프로모션을 의미할 가능성도 있음.",음원,medium
ヤラララ,101,0,0,false,,보컬로이드/UTAU 카사네 테토(重音テト)가 피처링한 ABM(AnythingBecomeMoe)의 곡 'ヤラララ(야라라라)'를 가리킴.,음원,high
차쿤 에네스,101,0,0,false,,"2009년경 인터넷에서 화제였던 차쿤&에네스의 자작곡 '눈물'을 가리키며, 차쿤은 이후 힙합 그룹 일렉트로보이즈 멤버로도 활동함.",음원,high
맞게살아온걸까,101,0,0,false,,"'제대로 살아온 걸까'라는 자기 성찰적 문구로 보이나, 특정 곡의 제목이나 가사로 명확히 확인되지 않음.",기타,low
uyoung wave,100,0,0,false,,"로파이·감성 팝 음악을 발매하는 인디 아티스트 겸 채널 'UYoung Wave'를 가리키며, 스포티파이·애플뮤직·유튜브 등에서 활동함.",아티스트,high
